day_of_as_of_date,age_groups,clinical_status,count_of_case
2022-07-13,70 years old and above,Requires Oxygen Supplementation in General Ward,70
2022-07-14,70 years old and above,Requires Oxygen Supplementation in General Ward,80
2022-07-15,70 years old and above,Requires Oxygen Supplementation in General Ward,72
2022-07-16,70 years old and above,Requires Oxygen Supplementation in General Ward,65
2022-07-17,70 years old and above,Requires Oxygen Supplementation in General Ward,52
2022-07-18,70 years old and above,Requires Oxygen Supplementation in General Ward,60
2022-07-19,70 years old and above,Requires Oxygen Supplementation in General Ward,60
2022-07-20,70 years old and above,Requires Oxygen Supplementation in General Ward,55
2022-07-21,70 years old and above,Requires Oxygen Supplementation in General Ward,54
2022-07-22,70 years old and above,Requires Oxygen Supplementation in General Ward,54
2022-07-23,70 years old and above,Requires Oxygen Supplementation in General Ward,57
2022-07-24,70 years old and above,Requires Oxygen Supplementation in General Ward,61
2022-07-25,70 years old and above,Requires Oxygen Supplementation in General Ward,60
2022-07-26,70 years old and above,Requires Oxygen Supplementation in General Ward,55
2022-07-27,70 years old and above,Requires Oxygen Supplementation in General Ward,50
2022-07-28,70 years old and above,Requires Oxygen Supplementation in General Ward,49
2022-07-29,70 years old and above,Requires Oxygen Supplementation in General Ward,53
2022-07-30,70 years old and above,Requires Oxygen Supplementation in General Ward,56
2022-07-31,70 years old and above,Requires Oxygen Supplementation in General Ward,60
2022-08-01,70 years old and above,Requires Oxygen Supplementation in General Ward,49
2022-08-02,70 years old and above,Requires Oxygen Supplementation in General Ward,51
2022-08-03,70 years old and above,Requires Oxygen Supplementation in General Ward,47
2022-08-04,70 years old and above,Requires Oxygen Supplementation in General Ward,47
2022-08-05,70 years old and above,Requires Oxygen Supplementation in General Ward,41
2022-08-06,70 years old and above,Requires Oxygen Supplementation in General Ward,43
2022-08-07,70 years old and above,Requires Oxygen Supplementation in General Ward,40
2022-07-11,70 years old and above,Hospitalised,339
2022-07-12,70 years old and above,Hospitalised,362
2022-07-13,70 years old and above,Hospitalised,388
2022-07-14,70 years old and above,Hospitalised,400
2022-07-15,70 years old and above,Hospitalised,411
2022-07-16,70 years old and above,Hospitalised,400
2022-07-17,70 years old and above,Hospitalised,421
2022-07-18,70 years old and above,Hospitalised,431
2022-07-19,70 years old and above,Hospitalised,434
2022-07-20,70 years old and above,Hospitalised,454
2022-07-21,70 years old and above,Hospitalised,414
2022-07-22,70 years old and above,Hospitalised,409
2022-07-23,70 years old and above,Hospitalised,396
2022-07-24,70 years old and above,Hospitalised,410
2022-07-25,70 years old and above,Hospitalised,408
2022-07-26,70 years old and above,Hospitalised,394
2022-07-27,70 years old and above,Hospitalised,389
2022-07-28,70 years old and above,Hospitalised,369
2022-07-29,70 years old and above,Hospitalised,386
2022-07-30,70 years old and above,Hospitalised,378
2022-07-31,70 years old and above,Hospitalised,387
2022-08-01,70 years old and above,Hospitalised,389
2022-08-02,70 years old and above,Hospitalised,369
2022-08-03,70 years old and above,Hospitalised,394
2022-08-04,70 years old and above,Hospitalised,390
2022-08-05,70 years old and above,Hospitalised,389
2022-08-06,70 years old and above,Hospitalised,362
2022-08-07,70 years old and above,Hospitalised,361
2022-07-12,60 - 69 years old,Deceased (based on date of death),1
2022-07-16,60 - 69 years old,Deceased (based on date of death),1
2022-07-17,60 - 69 years old,Deceased (based on date of death),1
2022-07-22,60 - 69 years old,Deceased (based on date of death),1
2022-07-28,60 - 69 years old,Deceased (based on date of death),1
2022-07-11,60 - 69 years old,ICU,2
2022-07-12,60 - 69 years old,ICU,1
2022-07-14,60 - 69 years old,ICU,1
2022-07-15,60 - 69 years old,ICU,3
2022-07-16,60 - 69 years old,ICU,3
2022-07-17,60 - 69 years old,ICU,3
2022-07-18,60 - 69 years old,ICU,3
2022-07-19,60 - 69 years old,ICU,4
2022-07-20,60 - 69 years old,ICU,3
2022-07-21,60 - 69 years old,ICU,2
2022-07-22,60 - 69 years old,ICU,2
2022-07-23,60 - 69 years old,ICU,1
2022-07-24,60 - 69 years old,ICU,4
2022-07-25,60 - 69 years old,ICU,3
2022-07-26,60 - 69 years old,ICU,3
2022-07-27,60 - 69 years old,ICU,4
2022-07-28,60 - 69 years old,ICU,3
2022-07-29,60 - 69 years old,ICU,2
2022-07-30,60 - 69 years old,ICU,2
2022-07-31,60 - 69 years old,ICU,2
2022-08-01,60 - 69 years old,ICU,2
2022-08-02,60 - 69 years old,ICU,2
2022-08-03,60 - 69 years old,ICU,2
2022-08-04,60 - 69 years old,ICU,3
2022-08-05,60 - 69 years old,ICU,4
2022-08-06,60 - 69 years old,ICU,4
2022-08-07,60 - 69 years old,ICU,6
2022-07-11,60 - 69 years old,Requires Oxygen Supplementation in General Ward,11
2022-07-12,60 - 69 years old,Requires Oxygen Supplementation in General Ward,16
2022-07-13,60 - 69 years old,Requires Oxygen Supplementation in General Ward,15
2022-07-14,60 - 69 years old,Requires Oxygen Supplementation in General Ward,19
2022-07-15,60 - 69 years old,Requires Oxygen Supplementation in General Ward,19
2022-07-16,60 - 69 years old,Requires Oxygen Supplementation in General Ward,23
2022-07-17,60 - 69 years old,Requires Oxygen Supplementation in General Ward,20
2022-07-18,60 - 69 years old,Requires Oxygen Supplementation in General Ward,13
2022-07-19,60 - 69 years old,Requires Oxygen Supplementation in General Ward,11
2022-07-20,60 - 69 years old,Requires Oxygen Supplementation in General Ward,10
2022-07-21,60 - 69 years old,Requires Oxygen Supplementation in General Ward,6
2022-07-22,60 - 69 years old,Requires Oxygen Supplementation in General Ward,9
2022-07-23,60 - 69 years old,Requires Oxygen Supplementation in General Ward,8
2022-07-24,60 - 69 years old,Requires Oxygen Supplementation in General Ward,4
2022-07-25,60 - 69 years old,Requires Oxygen Supplementation in General Ward,9
2022-07-26,60 - 69 years old,Requires Oxygen Supplementation in General Ward,9
2022-07-27,60 - 69 years old,Requires Oxygen Supplementation in General Ward,8
2022-07-28,60 - 69 years old,Requires Oxygen Supplementation in General Ward,13
2022-07-29,60 - 69 years old,Requires Oxygen Supplementation in General Ward,10
2022-07-30,60 - 69 years old,Requires Oxygen Supplementation in General Ward,10
2022-07-31,60 - 69 years old,Requires Oxygen Supplementation in General Ward,12
2022-08-01,60 - 69 years old,Requires Oxygen Supplementation in General Ward,13
2022-08-02,60 - 69 years old,Requires Oxygen Supplementation in General Ward,9
2022-08-03,60 - 69 years old,Requires Oxygen Supplementation in General Ward,8
2022-08-04,60 - 69 years old,Requires Oxygen Supplementation in General Ward,10
2022-08-05,60 - 69 years old,Requires Oxygen Supplementation in General Ward,8
2022-08-06,60 - 69 years old,Requires Oxygen Supplementation in General Ward,8
2022-08-07,60 - 69 years old,Requires Oxygen Supplementation in General Ward,8
2022-07-11,60 - 69 years old,Hospitalised,86
2022-07-12,60 - 69 years old,Hospitalised,90
2022-07-13,60 - 69 years old,Hospitalised,97
2022-07-14,60 - 69 years old,Hospitalised,84
2022-07-15,60 - 69 years old,Hospitalised,93
2022-07-16,60 - 69 years old,Hospitalised,96
2022-07-17,60 - 69 years old,Hospitalised,106
2022-07-18,60 - 69 years old,Hospitalised,115
2022-07-19,60 - 69 years old,Hospitalised,120
2022-07-20,60 - 69 years old,Hospitalised,119
2022-07-21,60 - 69 years old,Hospitalised,103
2022-07-22,60 - 69 years old,Hospitalised,107
2022-07-23,60 - 69 years old,Hospitalised,103
2022-07-24,60 - 69 years old,Hospitalised,110
2022-07-25,60 - 69 years old,Hospitalised,116
2022-07-26,60 - 69 years old,Hospitalised,109
2022-07-27,60 - 69 years old,Hospitalised,95
2022-07-28,60 - 69 years old,Hospitalised,95
2022-07-29,60 - 69 years old,Hospitalised,103
2022-07-30,60 - 69 years old,Hospitalised,95
2022-07-31,60 - 69 years old,Hospitalised,91
2022-08-01,60 - 69 years old,Hospitalised,87
2022-08-02,60 - 69 years old,Hospitalised,89
2022-08-03,60 - 69 years old,Hospitalised,102
2022-08-04,60 - 69 years old,Hospitalised,96
2022-08-05,60 - 69 years old,Hospitalised,90
2022-08-06,60 - 69 years old,Hospitalised,85
2022-08-07,60 - 69 years old,Hospitalised,82
2022-07-11,40 - 59 years old,Deceased (based on date of death),1
2022-07-12,40 - 59 years old,Deceased (based on date of death),1
2022-07-22,40 - 59 years old,Deceased (based on date of death),1
2022-07-25,40 - 59 years old,Deceased (based on date of death),1
2022-08-02,40 - 59 years old,Deceased (based on date of death),1
2022-07-11,40 - 59 years old,ICU,1
2022-07-12,40 - 59 years old,ICU,1
2022-07-13,40 - 59 years old,ICU,1
2022-07-14,40 - 59 years old,ICU,5
2022-07-15,40 - 59 years old,ICU,4
2022-07-16,40 - 59 years old,ICU,2
2022-07-18,40 - 59 years old,ICU,1
2022-07-19,40 - 59 years old,ICU,2
2022-07-20,40 - 59 years old,ICU,3
2022-07-21,40 - 59 years old,ICU,2
2022-07-22,40 - 59 years old,ICU,2
2022-07-23,40 - 59 years old,ICU,2
2022-07-24,40 - 59 years old,ICU,2
2022-07-25,40 - 59 years old,ICU,2
2022-07-26,40 - 59 years old,ICU,1
2022-07-27,40 - 59 years old,ICU,2
2022-07-28,40 - 59 years old,ICU,1
2022-07-29,40 - 59 years old,ICU,2
2022-07-30,40 - 59 years old,ICU,2
2022-07-31,40 - 59 years old,ICU,3
2022-08-01,40 - 59 years old,ICU,3
2022-08-02,40 - 59 years old,ICU,3
2022-08-03,40 - 59 years old,ICU,2
2022-08-04,40 - 59 years old,ICU,2
2022-08-05,40 - 59 years old,ICU,1
2022-08-06,40 - 59 years old,ICU,2
2022-08-07,40 - 59 years old,ICU,3
2022-07-11,40 - 59 years old,Requires Oxygen Supplementation in General Ward,6
2022-07-12,40 - 59 years old,Requires Oxygen Supplementation in General Ward,3
2022-07-13,40 - 59 years old,Requires Oxygen Supplementation in General Ward,5
2022-07-14,40 - 59 years old,Requires Oxygen Supplementation in General Ward,8
2022-07-15,40 - 59 years old,Requires Oxygen Supplementation in General Ward,8
2022-07-16,40 - 59 years old,Requires Oxygen Supplementation in General Ward,10
2022-07-17,40 - 59 years old,Requires Oxygen Supplementation in General Ward,8
2022-07-18,40 - 59 years old,Requires Oxygen Supplementation in General Ward,5
2022-07-19,40 - 59 years old,Requires Oxygen Supplementation in General Ward,4
2022-07-20,40 - 59 years old,Requires Oxygen Supplementation in General Ward,2
2022-07-21,40 - 59 years old,Requires Oxygen Supplementation in General Ward,2
2022-07-22,40 - 59 years old,Requires Oxygen Supplementation in General Ward,4
2022-07-23,40 - 59 years old,Requires Oxygen Supplementation in General Ward,5
2022-07-24,40 - 59 years old,Requires Oxygen Supplementation in General Ward,4
2022-07-25,40 - 59 years old,Requires Oxygen Supplementation in General Ward,4
2022-07-26,40 - 59 years old,Requires Oxygen Supplementation in General Ward,5
2022-07-27,40 - 59 years old,Requires Oxygen Supplementation in General Ward,4
2022-07-28,40 - 59 years old,Requires Oxygen Supplementation in General Ward,4
2022-07-29,40 - 59 years old,Requires Oxygen Supplementation in General Ward,1
2022-07-30,40 - 59 years old,Requires Oxygen Supplementation in General Ward,3
2022-07-31,40 - 59 years old,Requires Oxygen Supplementation in General Ward,4
2022-08-01,40 - 59 years old,Requires Oxygen Supplementation in General Ward,3
2022-08-02,40 - 59 years old,Requires Oxygen Supplementation in General Ward,3
2022-08-03,40 - 59 years old,Requires Oxygen Supplementation in General Ward,4
2022-08-04,40 - 59 years old,Requires Oxygen Supplementation in General Ward,5
2022-08-05,40 - 59 years old,Requires Oxygen Supplementation in General Ward,2
2022-08-06,40 - 59 years old,Requires Oxygen Supplementation in General Ward,3
2022-08-07,40 - 59 years old,Requires Oxygen Supplementation in General Ward,3
2022-07-11,40 - 59 years old,Hospitalised,57
2022-07-12,40 - 59 years old,Hospitalised,51
2022-07-13,40 - 59 years old,Hospitalised,56
2022-07-14,40 - 59 years old,Hospitalised,58
2022-07-15,40 - 59 years old,Hospitalised,56
2022-07-16,40 - 59 years old,Hospitalised,66
2022-07-17,40 - 59 years old,Hospitalised,71
2022-07-18,40 - 59 years old,Hospitalised,77
2022-07-19,40 - 59 years old,Hospitalised,65
2022-07-20,40 - 59 years old,Hospitalised,67
2022-07-21,40 - 59 years old,Hospitalised,70
2022-07-22,40 - 59 years old,Hospitalised,69
2022-07-23,40 - 59 years old,Hospitalised,65
2022-07-24,40 - 59 years old,Hospitalised,53
2022-07-25,40 - 59 years old,Hospitalised,60
2022-07-26,40 - 59 years old,Hospitalised,56
2022-07-27,40 - 59 years old,Hospitalised,58
2022-07-28,40 - 59 years old,Hospitalised,63
2022-07-29,40 - 59 years old,Hospitalised,65
2022-07-30,40 - 59 years old,Hospitalised,55
2022-07-31,40 - 59 years old,Hospitalised,57
2022-08-01,40 - 59 years old,Hospitalised,56
2022-08-02,40 - 59 years old,Hospitalised,55
2022-08-03,40 - 59 years old,Hospitalised,58
2022-08-04,40 - 59 years old,Hospitalised,60
2022-08-05,40 - 59 years old,Hospitalised,48
2022-08-06,40 - 59 years old,Hospitalised,50
2022-08-07,40 - 59 years old,Hospitalised,48
2022-07-18,20 - 39 years old,ICU,1
2022-07-24,20 - 39 years old,ICU,2
2022-07-25,20 - 39 years old,ICU,1
2022-07-26,20 - 39 years old,ICU,1
2022-07-27,20 - 39 years old,ICU,1
2022-08-07,20 - 39 years old,ICU,1
2022-07-11,20 - 39 years old,Requires Oxygen Supplementation in General Ward,2
2022-07-19,20 - 39 years old,Requires Oxygen Supplementation in General Ward,2
2022-07-20,20 - 39 years old,Requires Oxygen Supplementation in General Ward,2
2022-07-26,20 - 39 years old,Requires Oxygen Supplementation in General Ward,1
2022-07-27,20 - 39 years old,Requires Oxygen Supplementation in General Ward,1
2022-08-07,20 - 39 years old,Requires Oxygen Supplementation in General Ward,1
2022-07-11,20 - 39 years old,Hospitalised,28
2022-07-12,20 - 39 years old,Hospitalised,29
2022-07-13,20 - 39 years old,Hospitalised,35
2022-07-14,20 - 39 years old,Hospitalised,41
2022-07-15,20 - 39 years old,Hospitalised,40
2022-07-16,20 - 39 years old,Hospitalised,45
2022-07-17,20 - 39 years old,Hospitalised,41
2022-07-18,20 - 39 years old,Hospitalised,42
2022-07-19,20 - 39 years old,Hospitalised,39
2022-07-20,20 - 39 years old,Hospitalised,41
2022-07-21,20 - 39 years old,Hospitalised,34
2022-07-22,20 - 39 years old,Hospitalised,35
2022-07-23,20 - 39 years old,Hospitalised,44
2022-07-24,20 - 39 years old,Hospitalised,36
2022-07-25,20 - 39 years old,Hospitalised,39
2022-07-26,20 - 39 years old,Hospitalised,39
2022-07-27,20 - 39 years old,Hospitalised,32
2022-07-28,20 - 39 years old,Hospitalised,29
2022-07-29,20 - 39 years old,Hospitalised,31
2022-07-30,20 - 39 years old,Hospitalised,27
2022-07-31,20 - 39 years old,Hospitalised,28
2022-08-01,20 - 39 years old,Hospitalised,23
2022-08-02,20 - 39 years old,Hospitalised,26
2022-08-03,20 - 39 years old,Hospitalised,28
2022-08-04,20 - 39 years old,Hospitalised,26
2022-08-05,20 - 39 years old,Hospitalised,25
2022-08-06,20 - 39 years old,Hospitalised,25
2022-08-07,20 - 39 years old,Hospitalised,22
2022-08-03,12 - 19 years old,ICU,1
2022-08-04,12 - 19 years old,ICU,1
2022-08-05,12 - 19 years old,ICU,1
2022-08-06,12 - 19 years old,ICU,1
2022-08-07,12 - 19 years old,ICU,1
2022-08-04,12 - 19 years old,Requires Oxygen Supplementation in General Ward,1
2022-08-05,12 - 19 years old,Requires Oxygen Supplementation in General Ward,1
2022-07-11,12 - 19 years old,Hospitalised,7
2022-07-12,12 - 19 years old,Hospitalised,10
2022-07-13,12 - 19 years old,Hospitalised,12
2022-07-14,12 - 19 years old,Hospitalised,8
2022-07-15,12 - 19 years old,Hospitalised,8
2022-07-16,12 - 19 years old,Hospitalised,8
2022-07-17,12 - 19 years old,Hospitalised,8
2022-07-18,12 - 19 years old,Hospitalised,7
2022-07-19,12 - 19 years old,Hospitalised,7
2022-07-20,12 - 19 years old,Hospitalised,9
2022-07-21,12 - 19 years old,Hospitalised,11
2022-07-22,12 - 19 years old,Hospitalised,11
2022-07-23,12 - 19 years old,Hospitalised,6
2022-07-24,12 - 19 years old,Hospitalised,6
2022-07-25,12 - 19 years old,Hospitalised,8
2022-07-26,12 - 19 years old,Hospitalised,8
2022-07-27,12 - 19 years old,Hospitalised,8
2022-07-28,12 - 19 years old,Hospitalised,7
2022-07-29,12 - 19 years old,Hospitalised,6
2022-07-30,12 - 19 years old,Hospitalised,7
2022-07-31,12 - 19 years old,Hospitalised,5
2022-08-01,12 - 19 years old,Hospitalised,5
2022-08-02,12 - 19 years old,Hospitalised,4
2022-08-03,12 - 19 years old,Hospitalised,7
2022-08-04,12 - 19 years old,Hospitalised,7
2022-08-05,12 - 19 years old,Hospitalised,9
2022-08-06,12 - 19 years old,Hospitalised,8
2022-08-07,12 - 19 years old,Hospitalised,4
2022-07-17,0 - 11 years old,Deceased (based on date of death),1
2022-07-26,0 - 11 years old,ICU,1
2022-07-17,0 - 11 years old,Requires Oxygen Supplementation in General Ward,1
2022-07-19,0 - 11 years old,Requires Oxygen Supplementation in General Ward,1
2022-07-20,0 - 11 years old,Requires Oxygen Supplementation in General Ward,1
2022-07-21,0 - 11 years old,Requires Oxygen Supplementation in General Ward,1
2022-07-22,0 - 11 years old,Requires Oxygen Supplementation in General Ward,1
2022-07-27,0 - 11 years old,Requires Oxygen Supplementation in General Ward,1
2022-07-11,0 - 11 years old,Hospitalised,23
2022-07-12,0 - 11 years old,Hospitalised,40
2022-07-13,0 - 11 years old,Hospitalised,42
2022-07-14,0 - 11 years old,Hospitalised,48
2022-07-15,0 - 11 years old,Hospitalised,33
2022-07-16,0 - 11 years old,Hospitalised,41
2022-07-17,0 - 11 years old,Hospitalised,47
2022-07-18,0 - 11 years old,Hospitalised,44
2022-07-19,0 - 11 years old,Hospitalised,39
2022-07-20,0 - 11 years old,Hospitalised,41
2022-07-21,0 - 11 years old,Hospitalised,31
2022-07-22,0 - 11 years old,Hospitalised,45
2022-07-23,0 - 11 years old,Hospitalised,44
2022-07-24,0 - 11 years old,Hospitalised,33
2022-07-25,0 - 11 years old,Hospitalised,34
2022-07-26,0 - 11 years old,Hospitalised,33
2022-07-27,0 - 11 years old,Hospitalised,42
2022-07-28,0 - 11 years old,Hospitalised,41
2022-07-29,0 - 11 years old,Hospitalised,45
2022-07-30,0 - 11 years old,Hospitalised,43
2022-07-31,0 - 11 years old,Hospitalised,39
2022-08-01,0 - 11 years old,Hospitalised,36
2022-08-02,0 - 11 years old,Hospitalised,31
2022-08-03,0 - 11 years old,Hospitalised,40
2022-08-04,0 - 11 years old,Hospitalised,30
2022-08-05,0 - 11 years old,Hospitalised,28
2022-08-06,0 - 11 years old,Hospitalised,26
2022-08-07,0 - 11 years old,Hospitalised,29
